"title","author","author_url","rating","voters_count","url"
"Forbidden Memories","S.J. Littlewood","https://www.goodreads.com/author/show/8537423.S_J_Littlewood","4.29","7","https://goodreads.com/book/show/24551858-forbidden-memories"
"Y","Shane Jason Taylor","https://www.goodreads.com/author/show/14673627.Shane_Jason_Taylor","3.29","7","https://goodreads.com/book/show/27822670-y"
"The Music of What Happens","Bill Konigsberg","https://www.goodreads.com/author/show/1304838.Bill_Konigsberg","3.94","7636","https://goodreads.com/book/show/35442700-the-music-of-what-happens"
"Second Star To The Right","Mark A. Roeder","https://www.goodreads.com/author/show/141588.Mark_A_Roeder","4.06","86","https://goodreads.com/book/show/76411.Second_Star_To_The_Right"
"Vampire Knight, Vol. 11 (Vampire Knight, #11)","Matsuri Hino","https://www.goodreads.com/author/show/153732.Matsuri_Hino","4.36","9532","https://goodreads.com/book/show/6494601-vampire-knight-vol-11"
"Man vs. Beast (Cherub, #6)","Robert Muchamore","https://www.goodreads.com/author/show/268199.Robert_Muchamore","4.16","13091","https://goodreads.com/book/show/828482.Man_vs_Beast"
"Putting Makeup on the Fat Boy","Bil Wright","https://www.goodreads.com/author/show/82686.Bil_Wright","3.47","987","https://goodreads.com/book/show/9757257-putting-makeup-on-the-fat-boy"
"The Shell House","Linda Newbery","https://www.goodreads.com/author/show/179711.Linda_Newbery","3.68","510","https://goodreads.com/book/show/409142.The_Shell_House"
"Yu+Me: dream Volume 1","Megan Rose Gedris","https://www.goodreads.com/author/show/2948188.Megan_Rose_Gedris","4.09","187","https://goodreads.com/book/show/6719386-yu-me"
"Everything Changes","Samantha Hale","https://www.goodreads.com/author/show/5448290.Samantha_Hale","3.49","283","https://goodreads.com/book/show/20702918-everything-changes"
"Beach Blondes: June Dreams / July's Promise / August Magic (Summer, #1-3)","Katherine Applegate","https://www.goodreads.com/author/show/1036736.Katherine_Applegate","4.09","5384","https://goodreads.com/book/show/2135550.Beach_Blondes"
"The Boy from Brighton","Geoffrey Knight","https://www.goodreads.com/author/show/1670544.Geoffrey_Knight","3.88","118","https://goodreads.com/book/show/17229933-the-boy-from-brighton"
"Essence (Queering Dixie Book 1)","J.E. Sumerau","https://www.goodreads.com/author/show/16354287.J_E_Sumerau","4.86","7","https://goodreads.com/book/show/35490142-essence"
"Masquerade (Micah Grey, #3)","Laura Lam","https://www.goodreads.com/author/show/5806077.Laura_Lam","3.95","446","https://goodreads.com/book/show/23279496-masquerade"
"The Marvelous Kea Girl","Jon D. Arthur","https://www.goodreads.com/author/show/16360201.Jon_D_Arthur","4.5","4","https://goodreads.com/book/show/37914863-the-marvelous-kea-girl"
"Hunting Prince Dracula","Kerri Maniscalco","https://www.goodreads.com/author/show/14584166.Kerri_Maniscalco","4.27","28349","https://goodreads.com/book/show/33916162-hunting-prince-dracula"
"Bizarro 2: Exploración","Aurora Seldon","https://www.goodreads.com/author/show/4169531.Aurora_Seldon","3.68","19","https://goodreads.com/book/show/11469998-bizarro-2"
